# R pretty() oracle for tracs/src/plot/pretty.rs
# Generated from R 4.6.0 with:
#   Rscript -e "set.seed(11); ..."  (see tests/plot_pretty_oracle.rs for the script)
# Columns: lo<TAB>up<TAB>comma-separated pretty(c(lo, up)) with default n=5
0	0	-1,0
1	1	0,1
-3	-3	-4,-2
0.5	0.5	0.0,0.5
158145820	158156686	158144000,158146000,158148000,158150000,158152000,158154000,158156000,158158000
0	51.93	0,10,20,30,40,50,60
0	8.8000000000000007	0,2,4,6,8,10
1	10	0,2,4,6,8,10
-5	5	-6,-4,-2,0,2,4,6
0	1	0.0,0.2,0.4,0.6,0.8,1.0
100000	1000000	0,200000,400000,600000,800000,1000000
0	1000000	0,200000,400000,600000,800000,1000000
1000000	2000000	1000000,1200000,1400000,1600000,1800000,2000000
-1	-0.001	-1.0,-0.8,-0.6,-0.4,-0.2,0.0
0.001	0.002	0.0010,0.0012,0.0014,0.0016,0.0018,0.0020
123.456	789.01199999999994	100,200,300,400,500,600,700,800
-98765.399999999994	-1234.5	-100000,-80000,-60000,-40000,-20000,0
0	1e-08	0.000000000,0.000000002,0.000000004,0.000000006,0.000000008,0.000000010
1000000000	2000000000	1000000000,1200000000,1400000000,1600000000,1800000000,2000000000
46913486	46964325	46910000,46920000,46930000,46940000,46950000,46960000,46970000
7565097	7590856	7565000,7570000,7575000,7580000,7585000,7590000,7595000
128747680	128753674	128747000,128748000,128749000,128750000,128751000,128752000,128753000,128754000
-4455004.115588963	-4455004.115587947	-4455004.1155890,-4455004.1155888,-4455004.1155886,-4455004.1155884,-4455004.1155882,-4455004.1155880,-4455004.1155878
212167.4595400691	212167.45954159184	212167.4595400,212167.4595405,212167.4595410,212167.4595415,212167.4595420
-8706204.4674530625	-6117753.568778554	-9000000,-8500000,-8000000,-7500000,-7000000,-6500000,-6000000
-8270082.1757316589	-8270082.1698476253	-8270082.176,-8270082.175,-8270082.174,-8270082.173,-8270082.172,-8270082.171,-8270082.170,-8270082.169
7613983.4569767118	7613983.4570166888	7613983.45697,7613983.45698,7613983.45699,7613983.45700,7613983.45701,7613983.45702
-6497741.5464818478	-6497741.009754736	-6497741.6,-6497741.5,-6497741.4,-6497741.3,-6497741.2,-6497741.1,-6497741.0
8143659.4715341926	8259415.6738328263	8140000,8160000,8180000,8200000,8220000,8240000,8260000
4679749.8548403382	4679778.5569870109	4679745,4679750,4679755,4679760,4679765,4679770,4679775,4679780
-364689.28214162588	-364689.26228328649	-364689.285,-364689.280,-364689.275,-364689.270,-364689.265,-364689.260
-6846795.0215563178	-6846793.2767682038	-6846795.5,-6846795.0,-6846794.5,-6846794.0,-6846793.5,-6846793.0
-5925748.1060922146	-5925048.6249045292	-5925800,-5925700,-5925600,-5925500,-5925400,-5925300,-5925200,-5925100,-5925000
-2724239.4397035241	-2724239.4038502364	-2724239.44,-2724239.43,-2724239.42,-2724239.41,-2724239.40
-8760231.1233058572	-8760229.2212171946	-8760231.5,-8760231.0,-8760230.5,-8760230.0,-8760229.5,-8760229.0
