# Oracle for the special functions `tracs diffpeak` implements: digamma,
# trigamma, tetragamma, trigammaInverse, log-gamma, and the two-sided t tail.
# Generated with R 4.6.0 (trigammaInverse from statmod).
#
# `kind` names the function, `arg` its argument (plus `arg2` for pt's df).
# Regenerate by re-running the generator that produced this file.
kind	arg	arg2	expected
lgamma	0.050000000000000003		2.9688792010517306
digamma	0.050000000000000003		-20.497844991299871
trigamma	0.050000000000000003		401.53235734211506
tetragamma	0.050000000000000003		-16002.108158021943
lgamma	0.25		1.2880225246980774
digamma	0.25		-4.2274535333762655
trigamma	0.25		17.197329154507109
tetragamma	0.25		-129.32773993753693
lgamma	0.5		0.57236494292470008
digamma	0.5		-1.9635100260214231
trigamma	0.5		4.934802200544679
tetragamma	0.5		-16.82879664423432
lgamma	1		0
digamma	1		-0.57721566490153231
trigamma	1		1.6449340668482264
tetragamma	1		-2.4041138063191885
lgamma	1.5		-0.12078223763524518
digamma	1.5		0.036489973978576895
trigamma	1.5		0.93480220054467933
tetragamma	1.5		-0.82879664423431998
lgamma	2		0
digamma	2		0.42278433509846747
trigamma	2		0.64493406684822641
tetragamma	2		-0.40411380631918858
lgamma	2.5		0.28468287047291918
digamma	2.5		0.70315664064524341
trigamma	2.5		0.49035775610023491
tetragamma	2.5		-0.23620405164172742
lgamma	3.7000000000000002		1.4280723266653881
digamma	3.7000000000000002		1.1671535393615113
trigamma	3.7000000000000002		0.31003785767003833
tetragamma	3.7000000000000002		-0.095395308728554035
lgamma	5		3.1780538303479458
digamma	5		1.5061176684318007
trigamma	5		0.22132295573711527
tetragamma	5		-0.048789732245114487
lgamma	6.5		5.6625620598571418
digamma	6.5		1.7929113303999331
trigamma	6.5		0.16628453574995827
tetragamma	6.5		-0.027587910706876804
lgamma	10		12.801827480081469
digamma	10		2.2517525890667214
trigamma	10		0.10516633568168572
tetragamma	10		-0.011049834970802063
lgamma	25		54.784729398112312
digamma	25		3.198742512851974
trigamma	25		0.040810663257225592
tetragamma	25		-0.0016652793184224687
lgamma	100		359.1342053695754
digamma	100		4.6001618527380881
trigamma	100		0.010050166663333566
tetragamma	100		-0.00010100499983334991
lgamma	1000		5905.2204232091808
digamma	1000		6.907255195648812
trigamma	1000		0.0010005001666666335
tetragamma	1000		-1.0010004999998335e-06
trigamma_inverse	0.0001		10000.499991666658
